Total Rules: 128000

P0=128000	P1=0     	P2=0     	P3=0     	P4=0     	
P5=0     	P6=0     	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 43546

srcMask=0: 128000
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:    0	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32:    0	

dstMask=0: 0
 1:    0	 2:    0	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:    0	20:    0	21:    0	22:    0	23:    0	24:    0	
25:    0	26:    0	27:    0	28:    0	29:    0	30:    0	31:    0	32: 128000	

No.	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort	sPWidth	dPWidth
0	   0	   0	   0	   0	   0	20079	1756	 509	   0	   7	   0	1965
1	   0	   0	   0	   0	   0	20080	1757	 510	   0	   3	   0	1958
2	   0	   0	   0	   0	   0	20080	1757	 510	   0	  11	   0	1960
3	   0	   0	   0	   0	   0	20080	1757	 510	   0	  11	   0	1921
4	   0	   0	   0	   0	   0	20080	1757	 510	   0	   5	   0	1989
5	   0	   0	   0	   0	   0	20080	1757	 510	   0	   7	   0	1996
6	   0	   0	   0	   0	   0	7521	1757	 510	   0	   5	   0	1911
7	   0	   0	   0	   0	   0	   0	1757	 510	   0	   7	   0	1793
8	   0	   0	   0	   0	   0	   0	1757	 510	   0	   4	   0	1854
9	   0	   0	   0	   0	   0	   0	1757	 510	   0	   6	   0	1906
10	   0	   0	   0	   0	   0	   0	1757	 510	   0	  10	   0	1715
11	   0	   0	   0	   0	   0	   0	1757	 510	   0	   7	   0	1869
12	   0	   0	   0	   0	   0	   0	1757	 510	   0	   3	   0	1818
13	   0	   0	   0	   0	   0	   0	1757	 510	   0	  10	   0	1710
14	   0	   0	   0	   0	   0	   0	1757	 510	   0	   3	   0	1808
