P0=61633		P1=63674		P2=86107		P3=3425		P4=30133		
P5=0		P6=0		P7=0		P8=0		P9=0		
P10=0		P11=0		P12=0		P13=0		P14=0		

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
0	   0	 760	 430	 149	 615	 305	 251	 142
1	   0	 881	 492	 144	 615	 309	 237	 126
2	   0	 879	 483	 150	 615	 305	 243	 106
3	   0	 678	 445	 126	 615	 305	 283	 125
4	   0	 887	 462	 150	 614	 305	 218	 123
5	   0	 609	 486	 144	 615	 314	 225	 145
6	   0	 793	 469	 118	 615	 305	 238	 140
7	   0	 768	 442	 122	 615	 312	 222	 123
8	   0	 916	 468	 167	 615	 307	 228	 113
9	   0	 677	 472	 142	 615	 303	 250	 125
10	   0	 692	 450	 140	 614	 303	 237	 116
11	   0	 873	 426	 132	 615	 311	 243	 113
12	   0	 752	 531	 143	 615	 301	 238	 128
13	   0	 579	 463	 139	 614	 308	 236	 135
14	   0	 948	 459	 126	 615	 299	 234	 130
15	   0	 817	 469	 127	 615	 322	 234	 127
16	   0	 767	 452	 148	 615	 304	 248	 114
17	   0	 744	 462	 148	 615	 313	 244	 138
18	   0	 655	 469	 135	 615	 311	 257	 140
19	   0	 753	 451	 158	 614	 312	 228	 104
20	   0	 900	 511	 157	 614	 311	 231	 160
21	   0	 726	 471	 134	 615	 303	 233	 118
22	   0	 988	 491	 140	 615	 310	 253	 130
23	   0	 711	 449	 146	 615	 300	 246	 131
24	   0	 876	 483	 130	 615	 303	 246	 131
25	   0	1045	 480	 144	 615	 315	 228	 129
26	   0	 670	 431	 137	 615	 305	 220	 129
27	   0	 688	 452	 126	 615	 309	 241	 132
28	   0	 749	 461	 134	 614	 305	 244	 135
29	   0	 986	 484	 136	 615	 313	 245	 124
30	   0	 613	 471	 138	 615	 300	 237	 125
31	   0	 625	 458	 142	 615	 306	 233	 112
32	   0	 757	 459	 142	 614	 304	 244	 128
33	   0	 701	 489	 130	 615	 316	 261	 121
34	   0	 751	 448	 151	 615	 300	 237	 116
35	   0	 578	 479	 123	 615	 309	 239	 128
36	   0	 823	 474	 155	 615	 301	 260	 125
37	   0	 902	 473	 156	 615	 310	 244	 146
38	   0	 799	 473	 131	 615	 312	 228	 127
39	   0	 931	 486	 152	 615	 302	 271	 126
40	   0	 695	 440	 128	 614	 317	 270	 133
41	   0	 789	 454	 149	 615	 308	 258	 105
42	   0	 673	 472	 112	 615	 307	 221	 148
43	   0	1051	 485	 131	 615	 306	 220	 124
44	   0	 644	 439	 119	 615	 302	 245	 114
45	   0	 655	 481	 139	 615	 306	 264	 126
46	   0	 816	 462	 155	 615	 304	 240	 129
47	   0	 928	 473	 166	 614	 309	 273	 124
48	   0	 947	 451	 124	 614	 300	 208	 124
49	   0	1016	 457	 128	 615	 307	 251	 132
50	   0	 659	 475	 148	 615	 306	 235	 133
51	   0	 744	 432	 158	 615	 306	 232	 115
52	   0	 732	 472	 148	 615	 305	 241	 127
53	   0	 796	 487	 139	 615	 312	 236	 130
54	   0	 782	 476	 140	 615	 315	 223	 114
55	   0	 526	 513	 116	 615	 304	 236	 131
56	   0	 822	 490	 116	 615	 309	 261	 160
57	   0	 827	 454	 144	 615	 303	 250	 114
58	   0	 667	 487	 135	 614	 299	 252	 132
59	   0	 883	 440	 139	 615	 319	 249	 132
60	   0	 595	 483	 150	 615	 315	 256	 128
61	   0	 981	 479	 137	 615	 300	 250	 127
62	   0	 806	 412	 133	 614	 298	 253	 125
63	   0	 665	 487	 155	 615	 302	 210	 122
64	1657	 987	 462	 116	   0	 307	 225	 120
65	1664	 802	 466	 137	   0	 305	 235	 126
66	1659	 895	 478	 142	   0	 308	 225	  99
67	1662	 669	 448	 130	   0	 302	 247	 119
68	1666	 576	 446	 154	   0	 312	 225	 135
69	1664	 652	 435	 160	   0	 309	 250	 119
70	1661	 843	 419	 142	   0	 301	 275	 127
71	1662	 833	 464	 163	   0	 311	 250	 141
72	1665	 830	 486	 127	   0	 313	 253	 132
73	1663	 656	 482	 141	   0	 306	 217	 114
74	1663	 710	 465	 150	   0	 315	 251	 125
75	1663	 790	 427	 157	   0	 297	 221	 133
76	1650	 816	 489	 158	   0	 303	 232	 127
77	1664	 872	 470	 163	   0	 306	 224	 140
78	1663	 858	 423	 154	   0	 304	 220	 129
79	1663	 695	 475	 144	   0	 309	 234	 127
80	1661	1013	 476	 160	   0	 316	 215	 121
81	1666	 578	 473	 144	   0	 307	 247	 102
82	1663	 661	 469	 136	   0	 305	 255	 114
83	1663	 619	 474	 177	   0	 310	 246	 131
84	1661	 990	 496	 146	   0	 301	 232	 119
85	1664	 647	 452	 131	   0	 313	 237	 122
86	1665	 988	 457	 171	   0	 304	 249	 119
87	1665	 715	 428	 116	   0	 304	 237	 122
88	1664	 626	 443	 153	   0	 311	 230	 154
89	1663	 644	 490	 115	   0	 312	 237	 134
90	1664	 948	 484	 130	   0	 316	 219	 145
91	1665	 842	 473	 132	   0	 294	 268	 124
92	1666	 802	 459	 134	   0	 299	 202	 129
93	1660	 788	 445	 141	   0	 317	 242	 143
94	1665	 799	 522	 164	   0	 311	 224	 146
95	1665	 796	 487	 139	   0	 302	 229	 149
96	1665	 742	 473	 169	   0	 291	 255	 124
97	1665	 871	 446	 126	   0	 321	 226	 136
98	1658	 855	 444	 133	   0	 308	 245	 103
99	1663	 634	 447	 142	   0	 313	 268	 127
100	1665	 638	 489	 143	   0	 301	 262	 137
101	1664	 846	 484	 134	   0	 308	 231	 127
102	1661	 866	 492	 146	   0	 315	 226	 130
103	1660	 777	 451	 167	   0	 299	 249	 114
104	1664	 720	 437	 147	   0	 303	 220	 133
105	1660	 688	 456	 154	   0	 312	 248	 113
106	1661	 915	 472	 145	   0	 311	 209	 110
107	1659	 941	 456	 152	   0	 307	 248	 128
108	1663	 735	 461	 125	   0	 304	 256	 119
109	1666	 470	 438	 138	   0	 306	 229	 134
110	1666	1012	 498	 160	   0	 304	 241	 112
111	1664	 704	 480	 145	   0	 305	 219	 127
112	1655	 706	 473	 129	   0	 301	 249	 110
113	1660	 876	 414	 138	   0	 309	 260	 116
114	1668	 771	 479	 145	   0	 299	 259	 117
115	1665	 784	 461	 151	   0	 324	 256	 126
116	1665	 838	 447	 144	   0	 312	 250	 132
117	1662	 868	 455	 132	   0	 301	 238	 122
118	1664	 694	 480	 152	   0	 310	 222	 132
119	1658	 719	 440	 157	   0	 306	 245	 127
120	1662	 800	 432	 129	   0	 311	 228	 113
121	1663	1025	 478	 125	   0	 306	 245	 134
122	1661	 660	 477	 126	   0	 310	 229	 125
123	1656	 563	 475	 134	   0	 305	 234	 111
124	1661	 702	 467	 140	   0	 301	 253	 107
125	1659	 807	 495	 152	   0	 309	 256	 119
126	1664	 974	 453	 129	   0	 301	 238	 110
127	1662	 743	 461	 165	   0	 316	 252	 122
128	1665	 834	 459	 154	   0	 306	 235	 124
129	1662	 816	 473	 155	   0	 303	 247	 111
130	1671	 722	 466	 145	   0	 314	 251	 132
131	1667	 678	 469	 147	   0	 298	 220	 123
132	1665	 814	 443	 132	   0	 313	 234	 126
133	1667	 909	 484	 140	   0	 297	 244	 107
134	1667	 815	 496	 163	   0	 312	 227	 132
135	1662	 651	 507	 129	   0	 306	 241	 123
136	1663	 837	 465	 133	   0	 306	 238	 113
137	1667	 950	 469	 140	   0	 307	 245	 109
138	1671	 474	 451	 141	   0	 304	 229	 128
139	1661	 811	 480	 131	   0	 304	 244	 112
140	1667	 654	 451	 148	   0	 305	 234	 136
141	1669	 859	 500	 129	   0	 307	 235	 112
142	1667	 868	 473	 135	   0	 321	 254	 111
