P0=1427		P1=6216		P2=0		P3=0		P4=0		
P5=0		P6=121565		P7=0		P8=0		P9=0		
P10=0		P11=0		P12=0		P13=0		P14=0		

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
0	 859	 514	   1	  30	1261	 626	 579	 295
1	  12	   6	   0	  28	1261	 635	 587	 278
2	   0	   1	   1	  38	1260	 631	 620	 312
3	   0	 244	   0	  36	1261	 634	 615	 287
4	   0	  72	   0	   7	1260	 633	 565	 254
5	   0	 588	   1	   6	1261	 627	 601	 258
6	   0	   2	   0	  38	1261	 629	 589	 291
7	   0	 128	   1	  49	1261	 632	 642	 274
8	   0	 238	   1	   2	1261	 631	 592	 297
9	   0	   1	   1	   5	1261	 630	 561	 279
10	   0	   0	   0	  41	1261	 633	 607	 300
11	   0	   0	   1	  51	1260	 630	 581	 326
12	   0	  11	 185	   3	1261	 629	 587	 283
13	   0	 655	  10	   2	1260	 632	 601	 271
14	  12	   1	   0	  25	1261	 631	 615	 310
15	 848	 238	   0	  18	1261	 630	 602	 307
16	   0	  11	 485	   3	1261	 633	 636	 305
17	   0	1020	  26	   1	1261	 623	 647	 236
18	  15	   0	   0	  56	1261	 636	 637	 281
19	 968	   0	   1	  52	1261	 627	 629	 291
20	   0	   0	 183	   7	1261	 629	 582	 268
21	   0	   0	  10	   4	1261	 628	 584	 274
22	   0	   0	   1	 173	1260	 633	 596	 286
23	   0	   0	   0	 192	1261	 633	 586	 332
24	   0	   0	   0	  30	1261	 631	 607	 311
25	   0	   0	   0	  37	1261	 628	 597	 286
26	   0	   0	  94	  30	1260	 636	 605	 326
27	   0	   0	   4	  29	1261	 629	 622	 268
28	   0	   0	   3	 114	1261	 634	 578	 296
29	   0	   0	  48	 119	1261	 634	 575	 298
30	  12	   0	   0	  71	1260	 634	 606	 302
31	 605	   0	   1	  75	1261	 631	 587	 273
32	   0	   0	   0	   2	1261	 627	 607	 257
33	   0	   0	   0	   0	1260	 635	 598	 264
34	   0	   0	   3	   1	1261	 626	 581	 294
35	   0	   0	   4	   1	1261	 632	 622	 286
36	   0	   0	   2	  11	1260	 635	 646	 287
37	   0	   0	   2	  10	1261	 626	 612	 289
38	1514	   0	 658	   6	1261	 625	 607	 305
39	   9	   0	  57	   5	1261	 635	 622	 251
40	   0	   0	 277	   3	1260	 633	 612	 275
41	   0	   0	 435	   5	1261	 632	 638	 279
42	   0	   0	   4	  11	1261	 634	 618	 284
43	   0	   0	   1	  16	1261	 628	 572	 316
44	1486	   0	   4	   5	1261	 630	 606	 307
45	  13	   0	 105	   1	1261	 626	 622	 275
46	   0	   0	   2	   0	1261	 628	 530	 297
47	   0	   0	   2	   1	1261	 628	 615	 278
48	   0	   0	 124	  45	1261	 632	 618	 301
49	   0	   0	 324	  41	1260	 628	 622	 283
50	   0	   0	   2	   3	1261	 635	 618	 298
51	   0	   0	   2	   4	1261	 630	 593	 304
52	   9	   0	  17	  10	1261	 631	 649	 293
53	 719	   0	 195	  11	1260	 635	 633	 290
54	   0	   0	 383	 134	1261	 625	 588	 261
55	   0	   0	 274	 109	1261	 631	 594	 296
56	   0	   0	  12	   2	1260	 633	 637	 283
57	   0	   0	 185	   2	1261	 631	 593	 302
58	   0	   8	   0	   1	1261	 633	 670	 305
59	   0	 552	   0	   1	1261	 628	 626	 267
60	   9	   6	  25	  55	1261	 630	 608	 268
61	 717	 517	   1	  45	1261	 627	 629	 271
62	   0	   0	  35	  10	1260	 630	 620	 285
63	   0	   0	 504	   8	1261	 638	 600	 271
64	   0	   0	   0	  31	   0	 633	 593	 295
65	   0	   0	   0	  27	   0	 631	 583	 257
66	   0	   0	   0	  44	   0	 632	 593	 275
67	   0	   0	   0	  45	   0	 635	 614	 312
68	   0	   0	 175	  69	   0	 629	 591	 326
69	   0	   0	   9	  64	   0	 631	 649	 291
70	 711	   0	   0	   3	   0	 626	 557	 274
71	   8	   0	   0	   4	   0	 629	 615	 282
72	   0	   0	   6	  82	   0	 630	 630	 273
73	   0	   0	  86	  73	   0	 627	 623	 278
74	 991	   0	   0	   1	   0	 628	 608	 276
75	  14	   0	   0	   2	   0	 625	 601	 289
76	   0	   0	   0	  71	   0	 629	 608	 301
77	   0	   0	   0	  63	   0	 636	 634	 286
78	   0	   0	  19	 118	   0	 629	 584	 288
79	   0	   0	 251	 121	   0	 637	 618	 300
80	   0	   0	   0	 110	   0	 634	 584	 317
81	   0	   0	   0	 103	   0	 631	 613	 274
82	   0	 683	  12	  50	   0	 629	 634	 279
83	   0	  14	 202	  41	   0	 632	 695	 298
84	   0	   9	   0	   0	   0	 629	 634	 303
85	   0	 559	   0	   1	   0	 630	 629	 272
86	 901	 661	  48	   3	   0	 628	 611	 294
87	  12	  10	 460	   3	   0	 631	 604	 308
88	1134	  13	 158	   2	   0	 633	 622	 302
89	   9	 545	 198	   1	   0	 635	 559	 277
90	   0	   0	   2	   1	   0	 630	 574	 278
91	   0	   0	   2	   4	   0	 634	 572	 316
92	   0	   0	   1	   3	   0	 630	 585	 269
93	   0	   0	   2	   3	   0	 634	 581	 282
94	   0	   5	   2	  45	   0	 632	 581	 272
95	   0	 523	   1	  41	   0	 625	 616	 267
96	  11	   0	  46	  50	   0	 626	 607	 285
97	 715	   0	 410	  52	   0	 622	 600	 318
98	   0	   8	  30	   2	   0	 632	 560	 307
99	   0	 409	 379	   1	   0	 623	 635	 312
100	   0	 390	 219	  18	   0	 634	 605	 260
101	   0	   5	  14	  19	   0	 631	 617	 282
102	   0	   0	   1	 114	   0	 636	 589	 320
103	   0	   0	   0	 114	   0	 634	 640	 286
104	 784	   0	   1	  53	   0	 633	 620	 271
105	  12	   0	   0	  61	   0	 633	 633	 298
106	   0	   0	   0	  28	   0	 626	 634	 296
107	   0	   0	   1	  30	   0	 631	 662	 301
108	   0	   0	   1	  61	   0	 633	 593	 285
109	   0	   0	   0	  68	   0	 633	 610	 291
110	   0	 657	   1	  12	   0	 631	 624	 293
111	   0	   9	   0	  15	   0	 633	 567	 293
112	   0	   0	   2	  20	   0	 629	 552	 285
113	   0	   0	   1	  24	   0	 629	 621	 321
114	   0	   0	   1	 140	   0	 626	 612	 306
115	   0	   0	   2	 125	   0	 629	 611	 300
116	   0	 528	 110	  33	   0	 632	 588	 282
117	   0	  14	   1	  23	   0	 634	 535	 277
118	  13	   7	  15	  88	   0	 633	 595	 280
119	1452	 793	 156	  83	   0	 629	 599	 281
120	   0	   0	  11	   4	   0	 627	 618	 313
121	   0	   0	 151	   1	   0	 633	 634	 322
122	   0	   0	   0	  27	   0	 633	 625	 264
123	   0	   0	   0	  25	   0	 632	 632	 303
124	 891	   0	   0	 192	   0	 630	 584	 307
125	  11	   0	   0	 203	   0	 630	 634	 296
126	   0	   6	   0	 119	   0	 633	 617	 305
127	   0	 436	   0	 116	   0	 628	 591	 299
128	   0	   0	 307	 160	1262	 630	 590	 292
129	   0	   0	 405	 170	1262	 634	 651	 278
130	   0	   0	   1	   1	1263	 632	 581	 289
131	   0	   0	   0	   2	1262	 632	 644	 282
132	   0	  11	   1	   0	1262	 632	 593	 295
133	   0	 589	   0	   0	1262	 633	 617	 281
134	 644	   0	  25	  42	1262	 628	 586	 278
