IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
0	 905	 594	 632	 142	3432	3385	 350	 323
1	 904	 717	 652	 143	  37	  45	1861	 312
2	 907	 630	 435	 110	   0	3250	1411	 445
3	 907	 998	 480	 111	   0	  53	 712	 443
4	 907	1067	 463	 115	   0	  39	1052	 218
5	 908	1423	 710	 107	   0	  54	 209	 218
6	 907	 711	 477	 144	3448	  41	 578	 431
7	 907	 925	 657	 143	  32	  45	1713	 440
8	 907	1122	 737	 120	  82	 800	 517	 478
9	 906	 605	 790	 116	  98	 788	 183	 508
10	 901	 741	 658	 139	  30	 588	1139	 896
11	 904	 741	 474	 115	3274	4349	1469	 857
12	 906	 584	 739	 101	   0	 568	 252	 522
13	 906	1046	 700	  92	   0	 576	 464	 555
14	 904	 671	 674	 134	  30	 574	 998	 657
15	 905	1163	 548	 121	3469	 589	 979	 657
16	 906	 542	 485	 118	3283	  51	1338	 423
17	 907	 989	 499	 103	  41	  43	 243	 405
18	 906	 488	 533	 118	   2	  43	 200	 407
19	 906	 726	 455	 110	 161	  44	 911	 406
20	 906	 809	 810	 127	  44	  41	 580	 233
21	 903	 543	 655	 118	3438	  49	 695	 228
22	 907	 950	 533	 127	   0	  53	1214	 506
23	 906	 735	 663	 122	   0	  50	3407	 534
24	 906	 843	 520	 131	3186	3152	 587	 403
25	 906	 893	 459	 122	 116	  48	1490	 416
26	 902	 841	 630	 150	  92	3403	 508	 163
27	 900	 464	 583	 140	  91	  45	2243	 179
28	 907	1129	 726	 111	   4	  54	 187	 168
29	 906	 789	 603	 114	 176	  48	 242	 177
30	 901	 948	 528	 129	3274	1636	 229	 553
31	 906	1019	 870	 121	  34	  57	 284	 559
32	 907	 798	 505	 109	   0	  44	 998	 694
33	 900	 850	 568	 110	   0	  48	 692	 687
34	 906	1063	 648	 117	  34	  49	1590	 522
35	 905	 677	 588	 118	3460	2602	 593	 524
36	 907	 802	 496	 144	   0	  57	1216	 844
37	 906	 695	 513	 141	   0	  55	2742	 860
38	 906	 510	 714	 134	  26	  49	 166	 551
39	 904	 591	 704	  96	3467	  62	 408	 563
40	 904	1096	 553	 125	  85	 545	 377	 154
41	 907	 656	 530	 111	  85	 169	1211	 161
42	 903	 586	 630	 108	  34	 542	2226	 260
43	 907	 713	 545	 104	3285	 157	 918	 269
44	 905	 607	 495	 126	   0	 162	 540	 574
45	 907	1090	 478	 141	   0	 164	 571	 564
46	 907	 969	 633	 108	  39	3937	 749	 737
47	 903	 914	 618	 106	3446	 183	1530	 737
48	 906	 698	 499	 139	 880	  51	 208	 322
49	 907	 861	 524	 139	 880	  54	1684	 335
50	 900	 759	 612	 156	1686	  53	2162	 237
51	 903	 844	 616	 171	   5	  62	1652	 241
52	 907	 694	 621	 122	   0	  51	 646	1267
53	 906	 887	 535	 127	   0	  59	 307	1271
54	 905	1236	 450	 101	   2	  64	 284	 598
55	 906	 628	 552	  88	3495	1649	 815	 606
56	 907	 810	 729	 116	2851	  60	1426	 427
57	 902	 604	 564	 114	  22	  55	1779	 411
58	 906	 702	 490	 126	   2	3063	 383	 463
59	 902	 784	 426	 121	 165	  63	 306	 492
60	 905	 621	 558	 147	  19	  57	1440	 327
61	 907	 916	 614	 123	1726	1664	1010	 328
62	 905	 659	 527	 121	  84	1647	1669	 862
63	 895	1073	 516	 137	1671	  68	 211	 884
64	 906	 569	 696	  99	  91	 112	 549	 167
65	 904	 777	 536	 118	  90	 113	1492	 156
66	 906	 553	 767	 148	 128	 107	1939	 269
67	 908	 800	 590	 137	3182	 119	 251	 257
68	 903	 721	 675	 103	   3	 121	 930	 582
69	 907	 607	 513	 125	 174	3199	 636	 572
70	 907	 549	 718	 111	3193	 105	 297	 396
71	 905	 859	 584	 131	 114	 132	 328	 388
72	 902	1010	 726	 124	 123	 108	1074	 767
73	 902	 733	 681	 140	3186	 110	 214	 774
74	 906	 661	 545	 134	  93	1790	1128	 573
75	 907	 611	 655	 125	  92	 118	 532	 577
76	 904	 594	 666	 117	3463	 108	 605	 215
77	 899	 849	 681	 118	  31	 114	 185	 208
78	 908	 531	 475	  98	   0	 108	 593	 351
79	 907	 588	 512	 122	   0	 110	 186	 326
80	 904	 715	 480	  98	   1	 112	 748	 411
81	 906	 700	 451	 121	 168	 114	1462	 417
82	 906	 872	 543	 114	  33	 116	1093	 286
83	 908	 618	 469	  91	3263	 106	 595	 273
84	 906	 801	 455	 112	 163	3457	1231	 198
85	 901	 912	 482	 113	   1	 125	 284	 214
86	 905	1093	 591	 109	2748	 130	 538	 410
87	 907	 988	 537	  97	  27	 122	 252	 425
88	 905	 922	 665	 132	2875	 138	 953	 674
89	 907	 856	 523	 134	  95	4052	 480	 646
90	 905	1316	 534	 159	 169	 119	 332	 444
91	 907	1199	 604	 174	   1	 898	 222	 467
92	 908	1191	 703	  98	  82	3028	1795	 257
93	 907	 715	 500	 126	  92	 128	 407	 252
94	 905	 750	 488	 145	  26	 115	 196	 671
95	 907	1159	 639	 113	2890	 126	 883	 636
96	 904	 810	 620	 102	  42	 109	 725	 597
97	 905	 719	 628	 111	3458	 106	 678	 583
98	 903	 572	 544	 115	   0	 110	 953	 387
99	 905	 658	 518	 108	   0	 103	 551	 381
100	 905	1086	 518	 109	   4	1691	 424	 821
101	 905	 864	 621	  97	 169	 114	 208	 872
102	 902	 999	 516	 108	 111	4471	1151	 351
103	 906	 764	 796	  93	3207	 113	 906	 377
104	 906	 715	 577	 102	  98	 104	 169	 332
105	 905	 701	 534	 123	  98	1700	 168	 327
106	 907	 919	 606	 100	3265	3081	 629	 253
107	 907	 956	 553	 101	  25	 112	 346	 285
108	 907	 822	 541	 118	3214	 118	 770	 466
109	 901	 663	 639	 140	 110	4281	 900	 478
110	 906	 895	 596	 139	   1	1719	 327	 182
111	 907	 696	 538	 109	 164	3768	1451	 212
112	 885	 796	 732	 128	  31	 109	 575	 387
113	 907	 707	 585	 128	3288	3195	 970	 415
114	 905	 658	 484	 129	 171	 104	 934	 273
115	 906	 889	 550	 128	   2	  94	 205	 259
116	 907	1503	 606	 130	3294	 100	1069	 268
117	 908	 741	 467	 123	  27	3285	 141	 264
118	 907	 874	 633	 102	  88	2896	1136	 523
119	 907	 627	 506	 105	  85	  87	 699	 498
120	 906	 850	 627	 161	  29	3503	 216	 668
121	 904	1012	 512	 184	3294	 350	 625	 659
122	 907	 593	 552	 140	 159	 320	 149	 177
123	 905	 711	 506	 124	   4	 326	1216	 166
124	 907	 949	 567	  82	  92	 137	 284	 519
125	 898	 566	 565	 104	  93	1823	 253	 522
126	 906	 780	 752	 154	3187	 137	 631	 193
127	 906	1291	 660	 112	 121	3123	1792	 185
128	 905	 583	 513	 122	   2	  55	1230	 187
129	 906	 906	 500	 118	 174	  65	1074	 180
130	 905	 705	 722	  87	3299	  63	 282	 171
131	 905	 815	 552	 110	  31	  66	 369	 162
132	 905	 806	 445	 123	  45	  73	 609	 307
133	 906	 672	 629	 108	3452	1678	 341	 304
134	 906	 624	 484	 123	   0	5023	 217	 408
135	 906	 680	 505	 111	   0	  67	 689	 434
136	 902	 710	 531	 173	3297	 272	 685	 559
137	 898	1221	 604	 164	  29	 279	 369	 535
138	 904	 730	 553	  93	   2	 257	 719	 266
139	 892	 741	 578	 129	 163	 273	1151	 269
140	 901	 818	 729	 123	 159	1267	 487	 251
141	 905	 829	 482	 135	   1	 458	1565	 266
142	 905	 857	 453	 140	  26	  53	 689	 448
143	 905	 903	 527	 143	3319	 857	 730	 444
144	 905	1096	 532	 100	 120	  65	 981	 306
145	 899	 771	 594	  98	3084	2985	 236	 303
146	 906	 730	 440	 129	  92	  65	 761	 569
147	 907	1097	 436	 138	  93	  67	 619	 579
148	 906	 826	 619	 112	  82	3240	 611	 203
149	 906	 678	 723	 102	1676	1738	1010	 214
150	 905	1124	 481	 140	1737	  59	 841	 191
